rank,bucket,unit_count,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,note
1,hot,2,200,1212111112111,1,2,1,2,1,1,1,1,1,2,1,1,1,激アツ枠。最大2口まで。
2,hot,2,400,1212111012111,1,2,1,2,1,1,1,0,1,2,1,1,1,激アツ枠。最大2口まで。
3,hot,2,600,1212111110111,1,2,1,2,1,1,1,1,1,0,1,1,1,激アツ枠。最大2口まで。
4,hot,2,800,1212101112111,1,2,1,2,1,0,1,1,1,2,1,1,1,激アツ枠。最大2口まで。
5,hot,2,1000,1212111212111,1,2,1,2,1,1,1,2,1,2,1,1,1,激アツ枠。最大2口まで。
6,hot,2,1200,1212111010111,1,2,1,2,1,1,1,0,1,0,1,1,1,激アツ枠。最大2口まで。
7,hot,2,1400,1212101012111,1,2,1,2,1,0,1,0,1,2,1,1,1,激アツ枠。最大2口まで。
8,hot,2,1600,1212101110111,1,2,1,2,1,0,1,1,1,0,1,1,1,激アツ枠。最大2口まで。
9,hot,2,1800,1212121112111,1,2,1,2,1,2,1,1,1,2,1,1,1,激アツ枠。最大2口まで。
10,hot,2,2000,1212111210111,1,2,1,2,1,1,1,2,1,0,1,1,1,激アツ枠。最大2口まで。
11,core,1,2100,1212101212111,1,2,1,2,1,0,1,2,1,2,1,1,1,推奨コア。1口。
12,core,1,2200,1012111112111,1,0,1,2,1,1,1,1,1,2,1,1,1,推奨コア。1口。
13,core,1,2300,1212101010111,1,2,1,2,1,0,1,0,1,0,1,1,1,推奨コア。1口。
14,core,1,2400,1212121012111,1,2,1,2,1,2,1,0,1,2,1,1,1,推奨コア。1口。
15,core,1,2500,1212121110111,1,2,1,2,1,2,1,1,1,0,1,1,1,推奨コア。1口。
16,core,1,2600,1212101210111,1,2,1,2,1,0,1,2,1,0,1,1,1,推奨コア。1口。
17,core,1,2700,1212121212111,1,2,1,2,1,2,1,2,1,2,1,1,1,推奨コア。1口。
18,core,1,2800,1012111012111,1,0,1,2,1,1,1,0,1,2,1,1,1,推奨コア。1口。
19,core,1,2900,1012111110111,1,0,1,2,1,1,1,1,1,0,1,1,1,推奨コア。1口。
20,core,1,3000,1012101112111,1,0,1,2,1,0,1,1,1,2,1,1,1,推奨コア。1口。
21,core,1,3100,1012111212111,1,0,1,2,1,1,1,2,1,2,1,1,1,推奨コア。1口。
22,core,1,3200,1212121010111,1,2,1,2,1,2,1,0,1,0,1,1,1,推奨コア。1口。
23,core,1,3300,1212121210111,1,2,1,2,1,2,1,2,1,0,1,1,1,推奨コア。1口。
24,core,1,3400,1012111010111,1,0,1,2,1,1,1,0,1,0,1,1,1,推奨コア。1口。
25,core,1,3500,1012101012111,1,0,1,2,1,0,1,0,1,2,1,1,1,推奨コア。1口。
26,core,1,3600,1012101110111,1,0,1,2,1,0,1,1,1,0,1,1,1,推奨コア。1口。
27,core,1,3700,1012121112111,1,0,1,2,1,2,1,1,1,2,1,1,1,推奨コア。1口。
28,core,1,3800,1012111210111,1,0,1,2,1,1,1,2,1,0,1,1,1,推奨コア。1口。
29,core,1,3900,1012101212111,1,0,1,2,1,0,1,2,1,2,1,1,1,推奨コア。1口。
30,core,1,4000,1012101010111,1,0,1,2,1,0,1,0,1,0,1,1,1,推奨コア。1口。
31,core,1,4100,1012121012111,1,0,1,2,1,2,1,0,1,2,1,1,1,推奨コア。1口。
32,core,1,4200,1012121110111,1,0,1,2,1,2,1,1,1,0,1,1,1,推奨コア。1口。
33,core,1,4300,1012101210111,1,0,1,2,1,0,1,2,1,0,1,1,1,推奨コア。1口。
34,core,1,4400,1012121212111,1,0,1,2,1,2,1,2,1,2,1,1,1,推奨コア。1口。
35,core,1,4500,1012121010111,1,0,1,2,1,2,1,0,1,0,1,1,1,推奨コア。1口。
36,core,1,4600,1012121210111,1,0,1,2,1,2,1,2,1,0,1,1,1,推奨コア。1口。
37,hedge,1,4700,1212110112111,1,2,1,2,1,1,0,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
38,hedge,1,4800,1212011112111,1,2,1,2,0,1,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
39,hedge,1,4900,0212111112111,0,2,1,2,1,1,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
40,hedge,1,5000,1212111111111,1,2,1,2,1,1,1,1,1,1,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
41,hedge,1,5100,1202111112111,1,2,0,2,1,1,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
42,hedge,1,5200,1212110012111,1,2,1,2,1,1,0,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
43,hedge,1,5300,1212011012111,1,2,1,2,0,1,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
44,hedge,1,5400,1212110110111,1,2,1,2,1,1,0,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
45,hedge,1,5500,1212011110111,1,2,1,2,0,1,1,1,1,0,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
46,hedge,1,5600,1212100112111,1,2,1,2,1,0,0,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
47,hedge,1,5700,1212001112111,1,2,1,2,0,0,1,1,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
48,hedge,1,5800,0212111012111,0,2,1,2,1,1,1,0,1,2,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
49,hedge,1,5900,1212111011111,1,2,1,2,1,1,1,0,1,1,1,1,1,"追加ヘッジ。20,000円上限の議論用。"
