rank,bucket,unit_count,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,proxy_score,note,source_rank
1,base_hot,1,100,2122221221221,2,1,2,2,2,2,1,2,2,1,2,2,1,-5.881733,ベース90口。Hotでもまず1口だけ置く。,1
2,base_hot,1,200,2122221220221,2,1,2,2,2,2,1,2,2,0,2,2,1,-5.888588,ベース90口。Hotでもまず1口だけ置く。,2
3,base_hot,1,300,2120221221221,2,1,2,0,2,2,1,2,2,1,2,2,1,-5.927701,ベース90口。Hotでもまず1口だけ置く。,3
4,base_hot,1,400,2120221220221,2,1,2,0,2,2,1,2,2,0,2,2,1,-5.934556,ベース90口。Hotでもまず1口だけ置く。,4
5,base_hot,1,500,2122220221221,2,1,2,2,2,2,0,2,2,1,2,2,1,-5.945229,ベース90口。Hotでもまず1口だけ置く。,5
6,base_hot,1,600,2122220220221,2,1,2,2,2,2,0,2,2,0,2,2,1,-5.952084,ベース90口。Hotでもまず1口だけ置く。,6
7,base_hot,1,700,2120220221221,2,1,2,0,2,2,0,2,2,1,2,2,1,-5.991196,ベース90口。Hotでもまず1口だけ置く。,7
8,base_hot,1,800,2120220220221,2,1,2,0,2,2,0,2,2,0,2,2,1,-5.998051,ベース90口。Hotでもまず1口だけ置く。,8
9,base_hot,1,900,2122222221221,2,1,2,2,2,2,2,2,2,1,2,2,1,-6.035803,ベース90口。Hotでもまず1口だけ置く。,9
10,base_hot,1,1000,2122222220221,2,1,2,2,2,2,2,2,2,0,2,2,1,-6.042658,ベース90口。Hotでもまず1口だけ置く。,10
11,base_core,1,1100,2120222221221,2,1,2,0,2,2,2,2,2,1,2,2,1,-6.081770,ベース90口。Hotでもまず1口だけ置く。,11
12,base_core,1,1200,2120222220221,2,1,2,0,2,2,2,2,2,0,2,2,1,-6.088625,ベース90口。Hotでもまず1口だけ置く。,12
13,base_core,1,1300,2122021221221,2,1,2,2,0,2,1,2,2,1,2,2,1,-6.153392,ベース90口。Hotでもまず1口だけ置く。,13
14,base_core,1,1400,2122021220221,2,1,2,2,0,2,1,2,2,0,2,2,1,-6.160247,ベース90口。Hotでもまず1口だけ置く。,14
15,base_core,1,1500,2121221221221,2,1,2,1,2,2,1,2,2,1,2,2,1,-6.187189,ベース90口。Hotでもまず1口だけ置く。,15
16,base_core,1,1600,2121221220221,2,1,2,1,2,2,1,2,2,0,2,2,1,-6.194044,ベース90口。Hotでもまず1口だけ置く。,16
17,base_core,1,1700,2120021221221,2,1,2,0,0,2,1,2,2,1,2,2,1,-6.199359,ベース90口。Hotでもまず1口だけ置く。,17
18,base_core,1,1800,2120021220221,2,1,2,0,0,2,1,2,2,0,2,2,1,-6.206214,ベース90口。Hotでもまず1口だけ置く。,18
19,base_core,1,1900,2122221222221,2,1,2,2,2,2,1,2,2,2,2,2,1,-6.215556,ベース90口。Hotでもまず1口だけ置く。,19
20,base_core,1,2000,2122020221221,2,1,2,2,0,2,0,2,2,1,2,2,1,-6.216887,ベース90口。Hotでもまず1口だけ置く。,20
21,base_core,1,2100,2122020220221,2,1,2,2,0,2,0,2,2,0,2,2,1,-6.223742,ベース90口。Hotでもまず1口だけ置く。,21
22,base_core,1,2200,2121220221221,2,1,2,1,2,2,0,2,2,1,2,2,1,-6.250684,ベース90口。Hotでもまず1口だけ置く。,22
23,base_core,1,2300,2121220220221,2,1,2,1,2,2,0,2,2,0,2,2,1,-6.257539,ベース90口。Hotでもまず1口だけ置く。,23
24,base_core,1,2400,2120221222221,2,1,2,0,2,2,1,2,2,2,2,2,1,-6.261524,ベース90口。Hotでもまず1口だけ置く。,24
25,base_core,1,2500,2120020221221,2,1,2,0,0,2,0,2,2,1,2,2,1,-6.262854,ベース90口。Hotでもまず1口だけ置く。,25
26,base_core,1,2600,2120020220221,2,1,2,0,0,2,0,2,2,0,2,2,1,-6.269709,ベース90口。Hotでもまず1口だけ置く。,26
27,base_core,1,2700,2122220222221,2,1,2,2,2,2,0,2,2,2,2,2,1,-6.279052,ベース90口。Hotでもまず1口だけ置く。,27
28,base_core,1,2800,2122022221221,2,1,2,2,0,2,2,2,2,1,2,2,1,-6.307461,ベース90口。Hotでもまず1口だけ置く。,28
29,base_core,1,2900,2122022220221,2,1,2,2,0,2,2,2,2,0,2,2,1,-6.314316,ベース90口。Hotでもまず1口だけ置く。,29
30,base_core,1,3000,2120220222221,2,1,2,0,2,2,0,2,2,2,2,2,1,-6.325019,ベース90口。Hotでもまず1口だけ置く。,30
31,base_core,1,3100,2121222221221,2,1,2,1,2,2,2,2,2,1,2,2,1,-6.341258,ベース90口。Hotでもまず1口だけ置く。,31
32,base_core,1,3200,2121222220221,2,1,2,1,2,2,2,2,2,0,2,2,1,-6.348113,ベース90口。Hotでもまず1口だけ置く。,32
33,base_core,1,3300,2120022221221,2,1,2,0,0,2,2,2,2,1,2,2,1,-6.353429,ベース90口。Hotでもまず1口だけ置く。,33
