rank,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,signature,bucket,source_rank,unit_count,amount_cumulative_yen,proxy_score,note
1,2,1,2,2,2,2,1,2,2,1,2,2,1,2122221221221,hot_extra,1,1,100,-5.881733,Hot10追加1口。ベース90口に重ねる分。
2,2,1,2,2,2,2,1,2,2,0,2,2,1,2122221220221,hot_extra,2,1,200,-5.888588,Hot10追加1口。ベース90口に重ねる分。
3,2,1,2,0,2,2,1,2,2,1,2,2,1,2120221221221,hot_extra,3,1,300,-5.927701,Hot10追加1口。ベース90口に重ねる分。
4,2,1,2,0,2,2,1,2,2,0,2,2,1,2120221220221,hot_extra,4,1,400,-5.934556,Hot10追加1口。ベース90口に重ねる分。
5,2,1,2,2,2,2,0,2,2,1,2,2,1,2122220221221,hot_extra,5,1,500,-5.945229,Hot10追加1口。ベース90口に重ねる分。
6,2,1,2,2,2,2,0,2,2,0,2,2,1,2122220220221,hot_extra,6,1,600,-5.952084,Hot10追加1口。ベース90口に重ねる分。
7,2,1,2,0,2,2,0,2,2,1,2,2,1,2120220221221,hot_extra,7,1,700,-5.991196,Hot10追加1口。ベース90口に重ねる分。
8,2,1,2,0,2,2,0,2,2,0,2,2,1,2120220220221,hot_extra,8,1,800,-5.998051,Hot10追加1口。ベース90口に重ねる分。
9,2,1,2,2,2,2,2,2,2,1,2,2,1,2122222221221,hot_extra,9,1,900,-6.035803,Hot10追加1口。ベース90口に重ねる分。
10,2,1,2,2,2,2,2,2,2,0,2,2,1,2122222220221,hot_extra,10,1,1000,-6.042658,Hot10追加1口。ベース90口に重ねる分。
