rank,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,signature,bucket,source_rank,unit_count,amount_cumulative_yen,proxy_score,note
1,2,1,2,2,2,2,1,2,2,1,2,2,1,2122221221221,direct,1,1,100,-5.881733,重複なしの直接購入行。1行を1口だけ買う。
2,2,1,2,2,2,2,1,2,2,0,2,2,1,2122221220221,direct,2,1,200,-5.888588,重複なしの直接購入行。1行を1口だけ買う。
3,2,1,2,0,2,2,1,2,2,1,2,2,1,2120221221221,direct,3,1,300,-5.927701,重複なしの直接購入行。1行を1口だけ買う。
4,2,1,2,0,2,2,1,2,2,0,2,2,1,2120221220221,direct,4,1,400,-5.934556,重複なしの直接購入行。1行を1口だけ買う。
5,2,1,2,2,2,2,0,2,2,1,2,2,1,2122220221221,direct,5,1,500,-5.945229,重複なしの直接購入行。1行を1口だけ買う。
6,2,1,2,2,2,2,0,2,2,0,2,2,1,2122220220221,direct,6,1,600,-5.952084,重複なしの直接購入行。1行を1口だけ買う。
7,2,1,2,0,2,2,0,2,2,1,2,2,1,2120220221221,direct,7,1,700,-5.991196,重複なしの直接購入行。1行を1口だけ買う。
8,2,1,2,0,2,2,0,2,2,0,2,2,1,2120220220221,direct,8,1,800,-5.998051,重複なしの直接購入行。1行を1口だけ買う。
9,2,1,2,2,2,2,2,2,2,1,2,2,1,2122222221221,direct,9,1,900,-6.035803,重複なしの直接購入行。1行を1口だけ買う。
10,2,1,2,2,2,2,2,2,2,0,2,2,1,2122222220221,direct,10,1,1000,-6.042658,重複なしの直接購入行。1行を1口だけ買う。
11,2,1,2,0,2,2,2,2,2,1,2,2,1,2120222221221,direct,11,1,1100,-6.081770,重複なしの直接購入行。1行を1口だけ買う。
12,2,1,2,0,2,2,2,2,2,0,2,2,1,2120222220221,direct,12,1,1200,-6.088625,重複なしの直接購入行。1行を1口だけ買う。
13,2,1,2,2,0,2,1,2,2,1,2,2,1,2122021221221,direct,13,1,1300,-6.153392,重複なしの直接購入行。1行を1口だけ買う。
14,2,1,2,2,0,2,1,2,2,0,2,2,1,2122021220221,direct,14,1,1400,-6.160247,重複なしの直接購入行。1行を1口だけ買う。
15,2,1,2,1,2,2,1,2,2,1,2,2,1,2121221221221,direct,15,1,1500,-6.187189,重複なしの直接購入行。1行を1口だけ買う。
16,2,1,2,1,2,2,1,2,2,0,2,2,1,2121221220221,direct,16,1,1600,-6.194044,重複なしの直接購入行。1行を1口だけ買う。
17,2,1,2,0,0,2,1,2,2,1,2,2,1,2120021221221,direct,17,1,1700,-6.199359,重複なしの直接購入行。1行を1口だけ買う。
18,2,1,2,0,0,2,1,2,2,0,2,2,1,2120021220221,direct,18,1,1800,-6.206214,重複なしの直接購入行。1行を1口だけ買う。
19,2,1,2,2,2,2,1,2,2,2,2,2,1,2122221222221,direct,19,1,1900,-6.215556,重複なしの直接購入行。1行を1口だけ買う。
20,2,1,2,2,0,2,0,2,2,1,2,2,1,2122020221221,direct,20,1,2000,-6.216887,重複なしの直接購入行。1行を1口だけ買う。
21,2,1,2,2,0,2,0,2,2,0,2,2,1,2122020220221,direct,21,1,2100,-6.223742,重複なしの直接購入行。1行を1口だけ買う。
22,2,1,2,1,2,2,0,2,2,1,2,2,1,2121220221221,direct,22,1,2200,-6.250684,重複なしの直接購入行。1行を1口だけ買う。
23,2,1,2,1,2,2,0,2,2,0,2,2,1,2121220220221,direct,23,1,2300,-6.257539,重複なしの直接購入行。1行を1口だけ買う。
24,2,1,2,0,2,2,1,2,2,2,2,2,1,2120221222221,direct,24,1,2400,-6.261524,重複なしの直接購入行。1行を1口だけ買う。
25,2,1,2,0,0,2,0,2,2,1,2,2,1,2120020221221,direct,25,1,2500,-6.262854,重複なしの直接購入行。1行を1口だけ買う。
26,2,1,2,0,0,2,0,2,2,0,2,2,1,2120020220221,direct,26,1,2600,-6.269709,重複なしの直接購入行。1行を1口だけ買う。
27,2,1,2,2,2,2,0,2,2,2,2,2,1,2122220222221,direct,27,1,2700,-6.279052,重複なしの直接購入行。1行を1口だけ買う。
28,2,1,2,2,0,2,2,2,2,1,2,2,1,2122022221221,direct,28,1,2800,-6.307461,重複なしの直接購入行。1行を1口だけ買う。
29,2,1,2,2,0,2,2,2,2,0,2,2,1,2122022220221,direct,29,1,2900,-6.314316,重複なしの直接購入行。1行を1口だけ買う。
30,2,1,2,0,2,2,0,2,2,2,2,2,1,2120220222221,direct,30,1,3000,-6.325019,重複なしの直接購入行。1行を1口だけ買う。
31,2,1,2,1,2,2,2,2,2,1,2,2,1,2121222221221,direct,31,1,3100,-6.341258,重複なしの直接購入行。1行を1口だけ買う。
32,2,1,2,1,2,2,2,2,2,0,2,2,1,2121222220221,direct,32,1,3200,-6.348113,重複なしの直接購入行。1行を1口だけ買う。
33,2,1,2,0,0,2,2,2,2,1,2,2,1,2120022221221,direct,33,1,3300,-6.353429,重複なしの直接購入行。1行を1口だけ買う。
34,2,1,2,0,0,2,2,2,2,0,2,2,1,2120022220221,direct,34,1,3400,-6.360283,重複なしの直接購入行。1行を1口だけ買う。
35,2,1,2,2,2,2,2,2,2,2,2,2,1,2122222222221,direct,35,1,3500,-6.369626,重複なしの直接購入行。1行を1口だけ買う。
36,2,0,2,2,2,2,1,2,2,1,2,2,1,2022221221221,direct,36,1,3600,-6.400634,重複なしの直接購入行。1行を1口だけ買う。
37,2,0,2,2,2,2,1,2,2,0,2,2,1,2022221220221,direct,37,1,3700,-6.407489,重複なしの直接購入行。1行を1口だけ買う。
38,2,1,2,0,2,2,2,2,2,2,2,2,1,2120222222221,direct,38,1,3800,-6.415593,重複なしの直接購入行。1行を1口だけ買う。
39,2,0,2,0,2,2,1,2,2,1,2,2,1,2020221221221,direct,39,1,3900,-6.446602,重複なしの直接購入行。1行を1口だけ買う。
40,2,0,2,0,2,2,1,2,2,0,2,2,1,2020221220221,direct,40,1,4000,-6.453457,重複なしの直接購入行。1行を1口だけ買う。
41,2,1,2,1,0,2,1,2,2,1,2,2,1,2121021221221,direct,41,1,4100,-6.458847,重複なしの直接購入行。1行を1口だけ買う。
42,2,0,2,2,2,2,0,2,2,1,2,2,1,2022220221221,direct,42,1,4200,-6.464130,重複なしの直接購入行。1行を1口だけ買う。
43,2,1,2,1,0,2,1,2,2,0,2,2,1,2121021220221,direct,43,1,4300,-6.465702,重複なしの直接購入行。1行を1口だけ買う。
44,2,0,2,2,2,2,0,2,2,0,2,2,1,2022220220221,direct,44,1,4400,-6.470985,重複なしの直接購入行。1行を1口だけ買う。
45,2,1,2,2,0,2,1,2,2,2,2,2,1,2122021222221,direct,45,1,4500,-6.487214,重複なしの直接購入行。1行を1口だけ買う。
46,2,0,2,0,2,2,0,2,2,1,2,2,1,2020220221221,direct,46,1,4600,-6.510097,重複なしの直接購入行。1行を1口だけ買う。
47,2,0,2,0,2,2,0,2,2,0,2,2,1,2020220220221,direct,47,1,4700,-6.516952,重複なしの直接購入行。1行を1口だけ買う。
48,2,1,2,1,2,2,1,2,2,2,2,2,1,2121221222221,direct,48,1,4800,-6.521012,重複なしの直接購入行。1行を1口だけ買う。
49,2,1,2,1,0,2,0,2,2,1,2,2,1,2121020221221,direct,49,1,4900,-6.522342,重複なしの直接購入行。1行を1口だけ買う。
50,2,1,2,1,0,2,0,2,2,0,2,2,1,2121020220221,direct,50,1,5000,-6.529197,重複なしの直接購入行。1行を1口だけ買う。
51,2,1,2,0,0,2,1,2,2,2,2,2,1,2120021222221,direct,51,1,5100,-6.533182,重複なしの直接購入行。1行を1口だけ買う。
52,2,1,2,2,0,2,0,2,2,2,2,2,1,2122020222221,direct,52,1,5200,-6.550710,重複なしの直接購入行。1行を1口だけ買う。
53,2,0,2,2,2,2,2,2,2,1,2,2,1,2022222221221,direct,53,1,5300,-6.554704,重複なしの直接購入行。1行を1口だけ買う。
54,2,0,2,2,2,2,2,2,2,0,2,2,1,2022222220221,direct,54,1,5400,-6.561559,重複なしの直接購入行。1行を1口だけ買う。
55,2,1,2,1,2,2,0,2,2,2,2,2,1,2121220222221,direct,55,1,5500,-6.584507,重複なしの直接購入行。1行を1口だけ買う。
56,2,1,2,0,0,2,0,2,2,2,2,2,1,2120020222221,direct,56,1,5600,-6.596677,重複なしの直接購入行。1行を1口だけ買う。
57,2,0,2,0,2,2,2,2,2,1,2,2,1,2020222221221,direct,57,1,5700,-6.600671,重複なしの直接購入行。1行を1口だけ買う。
58,2,0,2,0,2,2,2,2,2,0,2,2,1,2020222220221,direct,58,1,5800,-6.607526,重複なしの直接購入行。1行を1口だけ買う。
59,2,1,2,1,0,2,2,2,2,1,2,2,1,2121022221221,direct,59,1,5900,-6.612917,重複なしの直接購入行。1行を1口だけ買う。
60,2,1,2,1,0,2,2,2,2,0,2,2,1,2121022220221,direct,60,1,6000,-6.619772,重複なしの直接購入行。1行を1口だけ買う。
61,2,1,2,2,0,2,2,2,2,2,2,2,1,2122022222221,direct,61,1,6100,-6.641284,重複なしの直接購入行。1行を1口だけ買う。
62,2,0,2,2,0,2,1,2,2,1,2,2,1,2022021221221,direct,62,1,6200,-6.672292,重複なしの直接購入行。1行を1口だけ買う。
63,2,1,2,1,2,2,2,2,2,2,2,2,1,2121222222221,direct,63,1,6300,-6.675081,重複なしの直接購入行。1行を1口だけ買う。
64,2,0,2,2,0,2,1,2,2,0,2,2,1,2022021220221,direct,64,1,6400,-6.679147,重複なしの直接購入行。1行を1口だけ買う。
65,2,1,2,0,0,2,2,2,2,2,2,2,1,2120022222221,direct,65,1,6500,-6.687251,重複なしの直接購入行。1行を1口だけ買う。
66,2,0,2,1,2,2,1,2,2,1,2,2,1,2021221221221,direct,66,1,6600,-6.706090,重複なしの直接購入行。1行を1口だけ買う。
67,2,0,2,1,2,2,1,2,2,0,2,2,1,2021221220221,direct,67,1,6700,-6.712945,重複なしの直接購入行。1行を1口だけ買う。
68,2,0,2,0,0,2,1,2,2,1,2,2,1,2020021221221,direct,68,1,6800,-6.718260,重複なしの直接購入行。1行を1口だけ買う。
69,2,0,2,0,0,2,1,2,2,0,2,2,1,2020021220221,direct,69,1,6900,-6.725115,重複なしの直接購入行。1行を1口だけ買う。
70,2,1,0,2,2,2,1,2,2,1,2,2,1,2102221221221,direct,70,1,7000,-6.727297,重複なしの直接購入行。1行を1口だけ買う。
71,2,1,0,2,2,2,1,2,2,0,2,2,1,2102221220221,direct,71,1,7100,-6.734152,重複なしの直接購入行。1行を1口だけ買う。
72,2,0,2,2,2,2,1,2,2,2,2,2,1,2022221222221,direct,72,1,7200,-6.734457,重複なしの直接購入行。1行を1口だけ買う。
73,2,0,2,2,0,2,0,2,2,1,2,2,1,2022020221221,direct,73,1,7300,-6.735788,重複なしの直接購入行。1行を1口だけ買う。
74,2,0,2,2,0,2,0,2,2,0,2,2,1,2022020220221,direct,74,1,7400,-6.742643,重複なしの直接購入行。1行を1口だけ買う。
75,2,0,2,1,2,2,0,2,2,1,2,2,1,2021220221221,direct,75,1,7500,-6.769585,重複なしの直接購入行。1行を1口だけ買う。
76,2,1,0,0,2,2,1,2,2,1,2,2,1,2100221221221,direct,76,1,7600,-6.773265,重複なしの直接購入行。1行を1口だけ買う。
77,2,0,2,1,2,2,0,2,2,0,2,2,1,2021220220221,direct,77,1,7700,-6.776440,重複なしの直接購入行。1行を1口だけ買う。
78,2,1,0,0,2,2,1,2,2,0,2,2,1,2100221220221,direct,78,1,7800,-6.780120,重複なしの直接購入行。1行を1口だけ買う。
79,2,0,2,0,2,2,1,2,2,2,2,2,1,2020221222221,direct,79,1,7900,-6.780425,重複なしの直接購入行。1行を1口だけ買う。
80,2,0,2,0,0,2,0,2,2,1,2,2,1,2020020221221,direct,80,1,8000,-6.781755,重複なしの直接購入行。1行を1口だけ買う。
81,2,0,2,0,0,2,0,2,2,0,2,2,1,2020020220221,direct,81,1,8100,-6.788610,重複なしの直接購入行。1行を1口だけ買う。
82,2,1,0,2,2,2,0,2,2,1,2,2,1,2102220221221,direct,82,1,8200,-6.790793,重複なしの直接購入行。1行を1口だけ買う。
83,2,1,2,1,0,2,1,2,2,2,2,2,1,2121021222221,direct,83,1,8300,-6.792670,重複なしの直接購入行。1行を1口だけ買う。
84,2,1,0,2,2,2,0,2,2,0,2,2,1,2102220220221,direct,84,1,8400,-6.797648,重複なしの直接購入行。1行を1口だけ買う。
85,2,0,2,2,2,2,0,2,2,2,2,2,1,2022220222221,direct,85,1,8500,-6.797953,重複なしの直接購入行。1行を1口だけ買う。
86,2,0,2,2,0,2,2,2,2,1,2,2,1,2022022221221,direct,86,1,8600,-6.826362,重複なしの直接購入行。1行を1口だけ買う。
87,2,0,2,2,0,2,2,2,2,0,2,2,1,2022022220221,direct,87,1,8700,-6.833217,重複なしの直接購入行。1行を1口だけ買う。
88,2,1,0,0,2,2,0,2,2,1,2,2,1,2100220221221,direct,88,1,8800,-6.836760,重複なしの直接購入行。1行を1口だけ買う。
89,2,1,0,0,2,2,0,2,2,0,2,2,1,2100220220221,direct,89,1,8900,-6.843615,重複なしの直接購入行。1行を1口だけ買う。
90,2,0,2,0,2,2,0,2,2,2,2,2,1,2020220222221,direct,90,1,9000,-6.843920,重複なしの直接購入行。1行を1口だけ買う。
91,2,1,2,1,0,2,0,2,2,2,2,2,1,2121020222221,direct,91,1,9100,-6.856165,重複なしの直接購入行。1行を1口だけ買う。
92,2,0,2,1,2,2,2,2,2,1,2,2,1,2021222221221,direct,92,1,9200,-6.860159,重複なしの直接購入行。1行を1口だけ買う。
93,2,0,2,1,2,2,2,2,2,0,2,2,1,2021222220221,direct,93,1,9300,-6.867014,重複なしの直接購入行。1行を1口だけ買う。
94,2,0,2,0,0,2,2,2,2,1,2,2,1,2020022221221,direct,94,1,9400,-6.872329,重複なしの直接購入行。1行を1口だけ買う。
95,2,0,2,0,0,2,2,2,2,0,2,2,1,2020022220221,direct,95,1,9500,-6.879184,重複なしの直接購入行。1行を1口だけ買う。
96,2,1,0,2,2,2,2,2,2,1,2,2,1,2102222221221,direct,96,1,9600,-6.881367,重複なしの直接購入行。1行を1口だけ買う。
97,2,1,2,2,2,2,1,0,2,1,2,2,1,2122221021221,direct,97,1,9700,-6.887012,重複なしの直接購入行。1行を1口だけ買う。
98,2,1,0,2,2,2,2,2,2,0,2,2,1,2102222220221,direct,98,1,9800,-6.888222,重複なしの直接購入行。1行を1口だけ買う。
99,2,0,2,2,2,2,2,2,2,2,2,2,1,2022222222221,direct,99,1,9900,-6.888527,重複なしの直接購入行。1行を1口だけ買う。
100,2,1,2,2,2,2,1,0,2,0,2,2,1,2122221020221,direct,100,1,10000,-6.893867,重複なしの直接購入行。1行を1口だけ買う。
