rank,bucket,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,note
1,core,100,1212111112111,1,2,1,2,1,1,1,1,1,2,1,1,1,推奨コア
2,core,200,1212111012111,1,2,1,2,1,1,1,0,1,2,1,1,1,推奨コア
3,core,300,1212111110111,1,2,1,2,1,1,1,1,1,0,1,1,1,推奨コア
4,core,400,1212101112111,1,2,1,2,1,0,1,1,1,2,1,1,1,推奨コア
5,core,500,1212111212111,1,2,1,2,1,1,1,2,1,2,1,1,1,推奨コア
6,core,600,1212111010111,1,2,1,2,1,1,1,0,1,0,1,1,1,推奨コア
7,core,700,1212101012111,1,2,1,2,1,0,1,0,1,2,1,1,1,推奨コア
8,core,800,1212101110111,1,2,1,2,1,0,1,1,1,0,1,1,1,推奨コア
9,core,900,1212121112111,1,2,1,2,1,2,1,1,1,2,1,1,1,推奨コア
10,core,1000,1212111210111,1,2,1,2,1,1,1,2,1,0,1,1,1,推奨コア
11,core,1100,1212101212111,1,2,1,2,1,0,1,2,1,2,1,1,1,推奨コア
12,core,1200,1012111112111,1,0,1,2,1,1,1,1,1,2,1,1,1,推奨コア
13,core,1300,1212101010111,1,2,1,2,1,0,1,0,1,0,1,1,1,推奨コア
14,core,1400,1212121012111,1,2,1,2,1,2,1,0,1,2,1,1,1,推奨コア
15,core,1500,1212121110111,1,2,1,2,1,2,1,1,1,0,1,1,1,推奨コア
16,core,1600,1212101210111,1,2,1,2,1,0,1,2,1,0,1,1,1,推奨コア
17,core,1700,1012111012111,1,0,1,2,1,1,1,0,1,2,1,1,1,推奨コア
18,core,1800,1212121212111,1,2,1,2,1,2,1,2,1,2,1,1,1,推奨コア
19,core,1900,1012111110111,1,0,1,2,1,1,1,1,1,0,1,1,1,推奨コア
20,core,2000,1012101112111,1,0,1,2,1,0,1,1,1,2,1,1,1,推奨コア
21,core,2100,1012111212111,1,0,1,2,1,1,1,2,1,2,1,1,1,推奨コア
22,core,2200,1212121010111,1,2,1,2,1,2,1,0,1,0,1,1,1,推奨コア
23,core,2300,1012111010111,1,0,1,2,1,1,1,0,1,0,1,1,1,推奨コア
24,core,2400,1212121210111,1,2,1,2,1,2,1,2,1,0,1,1,1,推奨コア
