rank,bucket,unit_count,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,proxy_ev_multiple,proxy_expected_return_yen,note
1,hot,2,200,1012121210111,1,0,1,2,1,2,1,2,1,0,1,1,1,0.824073,82.41,激アツ枠。最大2口まで。的中範囲は広がらないので厚張りしすぎない。
2,hot,2,400,1012121212111,1,0,1,2,1,2,1,2,1,2,1,1,1,0.823077,82.31,激アツ枠。最大2口まで。的中範囲は広がらないので厚張りしすぎない。
3,hot,2,600,1212121210111,1,2,1,2,1,2,1,2,1,0,1,1,1,0.819867,81.99,激アツ枠。最大2口まで。的中範囲は広がらないので厚張りしすぎない。
4,hot,2,800,1012121010111,1,0,1,2,1,2,1,0,1,0,1,1,1,0.819188,81.92,激アツ枠。最大2口まで。的中範囲は広がらないので厚張りしすぎない。
5,hot,2,1000,1012121012111,1,0,1,2,1,2,1,0,1,2,1,1,1,0.818120,81.81,激アツ枠。最大2口まで。的中範囲は広がらないので厚張りしすぎない。
6,hot,2,1200,1212121212111,1,2,1,2,1,2,1,2,1,2,1,1,1,0.817855,81.79,激アツ枠。最大2口まで。的中範囲は広がらないので厚張りしすぎない。
7,hot,2,1400,1212121010111,1,2,1,2,1,2,1,0,1,0,1,1,1,0.814782,81.48,激アツ枠。最大2口まで。的中範囲は広がらないので厚張りしすぎない。
8,hot,2,1600,1212121012111,1,2,1,2,1,2,1,0,1,2,1,1,1,0.812669,81.27,激アツ枠。最大2口まで。的中範囲は広がらないので厚張りしすぎない。
9,hot,2,1800,1012121110111,1,0,1,2,1,2,1,1,1,0,1,1,1,0.805933,80.59,激アツ枠。最大2口まで。的中範囲は広がらないので厚張りしすぎない。
10,hot,2,2000,1012121112111,1,0,1,2,1,2,1,1,1,2,1,1,1,0.804582,80.46,激アツ枠。最大2口まで。的中範囲は広がらないので厚張りしすぎない。
11,core,1,2100,1012101210111,1,0,1,2,1,0,1,2,1,0,1,1,1,0.802143,80.21,推奨コア。1口ずつバラで置く。
12,core,1,2200,1012101212111,1,0,1,2,1,0,1,2,1,2,1,1,1,0.800917,80.09,推奨コア。1口ずつバラで置く。
13,core,1,2300,1212121110111,1,2,1,2,1,2,1,1,1,0,1,1,1,0.800701,80.07,推奨コア。1口ずつバラで置く。
14,core,1,2400,1212121112111,1,2,1,2,1,2,1,1,1,2,1,1,1,0.798122,79.81,推奨コア。1口ずつバラで置く。
15,core,1,2500,1012101010111,1,0,1,2,1,0,1,0,1,0,1,1,1,0.797367,79.74,推奨コア。1口ずつバラで置く。
16,core,1,2600,1212101210111,1,2,1,2,1,0,1,2,1,0,1,1,1,0.797318,79.73,推奨コア。1口ずつバラで置く。
17,core,1,2700,1012101012111,1,0,1,2,1,0,1,0,1,2,1,1,1,0.796078,79.61,推奨コア。1口ずつバラで置く。
18,core,1,2800,1212101212111,1,2,1,2,1,0,1,2,1,2,1,1,1,0.795010,79.50,推奨コア。1口ずつバラで置く。
19,core,1,2900,1212101010111,1,2,1,2,1,0,1,0,1,0,1,1,1,0.792372,79.24,推奨コア。1口ずつバラで置く。
20,core,1,3000,1212101012111,1,2,1,2,1,0,1,0,1,2,1,1,1,0.789981,79.00,推奨コア。1口ずつバラで置く。
21,core,1,3100,1012111210111,1,0,1,2,1,1,1,2,1,0,1,1,1,0.789045,78.90,推奨コア。1口ずつバラで置く。
22,core,1,3200,1012111212111,1,0,1,2,1,1,1,2,1,2,1,1,1,0.787508,78.75,推奨コア。1口ずつバラで置く。
23,core,1,3300,1012101110111,1,0,1,2,1,0,1,1,1,0,1,1,1,0.784309,78.43,推奨コア。1口ずつバラで置く。
24,core,1,3400,1012111010111,1,0,1,2,1,1,1,0,1,0,1,1,1,0.784291,78.43,推奨コア。1口ずつバラで置く。
25,core,1,3500,1212111210111,1,2,1,2,1,1,1,2,1,0,1,1,1,0.783326,78.33,推奨コア。1口ずつバラで置く。
26,core,1,3600,1012101112111,1,0,1,2,1,0,1,1,1,2,1,1,1,0.782739,78.27,推奨コア。1口ずつバラで置く。
27,core,1,3700,1012111012111,1,0,1,2,1,1,1,0,1,2,1,1,1,0.782685,78.27,推奨コア。1口ずつバラで置く。
28,core,1,3800,1212111212111,1,2,1,2,1,1,1,2,1,2,1,1,1,0.780510,78.05,推奨コア。1口ずつバラで置く。
