rank,bucket,unit_count,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,proxy_score,note
1,hot,2,200,2122221221221,2,1,2,2,2,2,1,2,2,1,2,2,1,-4.723666,暫定Hot枠。最終再計算後も残ったら最大2口まで。
2,hot,2,400,2122221220221,2,1,2,2,2,2,1,2,2,0,2,2,1,-4.801153,暫定Hot枠。最終再計算後も残ったら最大2口まで。
3,hot,2,600,2122222221221,2,1,2,2,2,2,2,2,2,1,2,2,1,-4.827238,暫定Hot枠。最終再計算後も残ったら最大2口まで。
4,hot,2,800,2122220221221,2,1,2,2,2,2,0,2,2,1,2,2,1,-4.851464,暫定Hot枠。最終再計算後も残ったら最大2口まで。
5,hot,2,1000,2122222220221,2,1,2,2,2,2,2,2,2,0,2,2,1,-4.904725,暫定Hot枠。最終再計算後も残ったら最大2口まで。
6,hot,2,1200,2122220220221,2,1,2,2,2,2,0,2,2,0,2,2,1,-4.928951,暫定Hot枠。最終再計算後も残ったら最大2口まで。
7,hot,2,1400,2120221221221,2,1,2,0,2,2,1,2,2,1,2,2,1,-5.059120,暫定Hot枠。最終再計算後も残ったら最大2口まで。
8,hot,2,1600,2122221222221,2,1,2,2,2,2,1,2,2,2,2,2,1,-5.073666,暫定Hot枠。最終再計算後も残ったら最大2口まで。
9,hot,2,1800,2120221220221,2,1,2,0,2,2,1,2,2,0,2,2,1,-5.136607,暫定Hot枠。最終再計算後も残ったら最大2口まで。
10,hot,2,2000,2121221221221,2,1,2,1,2,2,1,2,2,1,2,2,1,-5.151955,暫定Hot枠。最終再計算後も残ったら最大2口まで。
11,core,1,2100,2120222221221,2,1,2,0,2,2,2,2,2,1,2,2,1,-5.162692,暫定1637枠。最終再計算で残れば1口。
12,core,1,2200,2122222222221,2,1,2,2,2,2,2,2,2,2,2,2,1,-5.177238,暫定1637枠。最終再計算で残れば1口。
13,core,1,2300,2120220221221,2,1,2,0,2,2,0,2,2,1,2,2,1,-5.186918,暫定1637枠。最終再計算で残れば1口。
14,core,1,2400,2122220222221,2,1,2,2,2,2,0,2,2,2,2,2,1,-5.201463,暫定1637枠。最終再計算で残れば1口。
15,core,1,2500,2121221220221,2,1,2,1,2,2,1,2,2,0,2,2,1,-5.229442,暫定1637枠。最終再計算で残れば1口。
