rank,bucket,unit_count,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,proxy_score,note,source_rank
1,hot_extra,1,100,2122221221221,2,1,2,2,2,2,1,2,2,1,2,2,1,-5.881733,Hot10追加1口。ベース90口に重ねる分。,1
2,hot_extra,1,200,2122221220221,2,1,2,2,2,2,1,2,2,0,2,2,1,-5.888588,Hot10追加1口。ベース90口に重ねる分。,2
3,hot_extra,1,300,2120221221221,2,1,2,0,2,2,1,2,2,1,2,2,1,-5.927701,Hot10追加1口。ベース90口に重ねる分。,3
4,hot_extra,1,400,2120221220221,2,1,2,0,2,2,1,2,2,0,2,2,1,-5.934556,Hot10追加1口。ベース90口に重ねる分。,4
5,hot_extra,1,500,2122220221221,2,1,2,2,2,2,0,2,2,1,2,2,1,-5.945229,Hot10追加1口。ベース90口に重ねる分。,5
6,hot_extra,1,600,2122220220221,2,1,2,2,2,2,0,2,2,0,2,2,1,-5.952084,Hot10追加1口。ベース90口に重ねる分。,6
7,hot_extra,1,700,2120220221221,2,1,2,0,2,2,0,2,2,1,2,2,1,-5.991196,Hot10追加1口。ベース90口に重ねる分。,7
8,hot_extra,1,800,2120220220221,2,1,2,0,2,2,0,2,2,0,2,2,1,-5.998051,Hot10追加1口。ベース90口に重ねる分。,8
9,hot_extra,1,900,2122222221221,2,1,2,2,2,2,2,2,2,1,2,2,1,-6.035803,Hot10追加1口。ベース90口に重ねる分。,9
10,hot_extra,1,1000,2122222220221,2,1,2,2,2,2,2,2,2,0,2,2,1,-6.042658,Hot10追加1口。ベース90口に重ねる分。,10
