rank,bucket,unit_count,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,proxy_score,note
1,hot,2,200,2122221221221,2,1,2,2,2,2,1,2,2,1,2,2,1,-5.881733,暫定Hot枠。最終再計算後も残ったら最大2口まで。
2,hot,2,400,2122221220221,2,1,2,2,2,2,1,2,2,0,2,2,1,-5.888588,暫定Hot枠。最終再計算後も残ったら最大2口まで。
3,hot,2,600,2120221221221,2,1,2,0,2,2,1,2,2,1,2,2,1,-5.927701,暫定Hot枠。最終再計算後も残ったら最大2口まで。
4,hot,2,800,2120221220221,2,1,2,0,2,2,1,2,2,0,2,2,1,-5.934556,暫定Hot枠。最終再計算後も残ったら最大2口まで。
5,hot,2,1000,2122220221221,2,1,2,2,2,2,0,2,2,1,2,2,1,-5.945229,暫定Hot枠。最終再計算後も残ったら最大2口まで。
6,hot,2,1200,2122220220221,2,1,2,2,2,2,0,2,2,0,2,2,1,-5.952084,暫定Hot枠。最終再計算後も残ったら最大2口まで。
7,hot,2,1400,2120220221221,2,1,2,0,2,2,0,2,2,1,2,2,1,-5.991196,暫定Hot枠。最終再計算後も残ったら最大2口まで。
8,hot,2,1600,2120220220221,2,1,2,0,2,2,0,2,2,0,2,2,1,-5.998051,暫定Hot枠。最終再計算後も残ったら最大2口まで。
9,hot,2,1800,2122222221221,2,1,2,2,2,2,2,2,2,1,2,2,1,-6.035803,暫定Hot枠。最終再計算後も残ったら最大2口まで。
10,hot,2,2000,2122222220221,2,1,2,2,2,2,2,2,2,0,2,2,1,-6.042658,暫定Hot枠。最終再計算後も残ったら最大2口まで。
11,core,1,2100,2120222221221,2,1,2,0,2,2,2,2,2,1,2,2,1,-6.081770,暫定1637枠。最終再計算で残れば1口。
12,core,1,2200,2120222220221,2,1,2,0,2,2,2,2,2,0,2,2,1,-6.088625,暫定1637枠。最終再計算で残れば1口。
13,core,1,2300,2122021221221,2,1,2,2,0,2,1,2,2,1,2,2,1,-6.153392,暫定1637枠。最終再計算で残れば1口。
14,core,1,2400,2122021220221,2,1,2,2,0,2,1,2,2,0,2,2,1,-6.160247,暫定1637枠。最終再計算で残れば1口。
15,core,1,2500,2121221221221,2,1,2,1,2,2,1,2,2,1,2,2,1,-6.187189,暫定1637枠。最終再計算で残れば1口。
16,core,1,2600,2121221220221,2,1,2,1,2,2,1,2,2,0,2,2,1,-6.194044,暫定1637枠。最終再計算で残れば1口。
17,core,1,2700,2120021221221,2,1,2,0,0,2,1,2,2,1,2,2,1,-6.199359,暫定1637枠。最終再計算で残れば1口。
18,core,1,2800,2120021220221,2,1,2,0,0,2,1,2,2,0,2,2,1,-6.206214,暫定1637枠。最終再計算で残れば1口。
19,core,1,2900,2122221222221,2,1,2,2,2,2,1,2,2,2,2,2,1,-6.215556,暫定1637枠。最終再計算で残れば1口。
20,core,1,3000,2122020221221,2,1,2,2,0,2,0,2,2,1,2,2,1,-6.216887,暫定1637枠。最終再計算で残れば1口。
21,core,1,3100,2122020220221,2,1,2,2,0,2,0,2,2,0,2,2,1,-6.223742,暫定1637枠。最終再計算で残れば1口。
22,core,1,3200,2121220221221,2,1,2,1,2,2,0,2,2,1,2,2,1,-6.250684,暫定1637枠。最終再計算で残れば1口。
23,core,1,3300,2121220220221,2,1,2,1,2,2,0,2,2,0,2,2,1,-6.257539,暫定1637枠。最終再計算で残れば1口。
24,core,1,3400,2120221222221,2,1,2,0,2,2,1,2,2,2,2,2,1,-6.261524,暫定1637枠。最終再計算で残れば1口。
25,core,1,3500,2120020221221,2,1,2,0,0,2,0,2,2,1,2,2,1,-6.262854,暫定1637枠。最終再計算で残れば1口。
26,core,1,3600,2120020220221,2,1,2,0,0,2,0,2,2,0,2,2,1,-6.269709,暫定1637枠。最終再計算で残れば1口。
